		
她瘦瘦的，高高的，头发长长的。	7	
她穿一条牛仔裤。	7	
他刚出去。	7	
她大概什么时候回来？	7	
你过一会儿再来看看吧。	7	
我的词典在老师那儿。	7	
我们明天去他那儿。	7	
这儿的书比较贵，那儿的书比较便宜。	7	
我今天晚上不回学校去。	7	
他们都高高兴兴的，你为什么不高兴？	7	
他胖胖的，白白的。	7	
他有点儿累。	7	
我没有空儿，不能去旅行。	7	
那个商店的东西太贵，你别去那儿买。	7	
我来找您，可是您不在。	7	
我不知道在什么地方可以买北京地图。	7	
如果您有，我可以不可以用一下？	7	
您在北京有没有朋友？	7	
附近有没有银行？	8	-
邮局就在那个银行的旁边。	8	
地铁站离汽车站远不远？	8	
能不能骑自行车去？	8	
离这儿远不远？不太远。	8	
怎么走？	8	
往前走一点儿，往右拐，过两条马路，就是中国银行。	8	
邮局在那个银行的旁边。	8	
我们现在怎么去市中心呢？	8	
有人告诉我，可以坐地铁去。	8	
你知道怎么走吗？	8	
我们问一下吧。	8	
从这儿到市中心怎么走？	8	
你在学校门口坐139路公共汽车，坐五站，然后换地铁，坐两站，从地铁站出来，就是市中心。	8	
你下车以后往右拐，过马路，就是地铁站。	8	
江山的词典在桌子上。	8	
银行里有很多人。	8	
邮局就在他们公司的右面。	8	
能不能坐飞机去？	8	
我家前面有商店。	8	
我爸爸在左面的银行工作。	8	
我妈妈在右面的邮局工作。	8	
我的学校就在我家后面。	8	
从我家到学校很近。	8	
不用坐公共汽车，也不用开车，只要走过就行。	8	
我以前养过鸟儿。	9	-
以前不行，现在可以了。	9	
听说，你要去北京了？	9	
要是你想去的话，我陪你一起去。	9	
这只小狗真可爱。	9	
我不喜欢养花儿。	9	
听说在中国城市里不能养狗，是吗？	9	
有的人喜欢养猫。	9	
你也喜欢养小动物？	9	
我喜欢小动物，但是不养小动物。	9	
我只能养我自己。	9	
公司让我去上海办点儿事儿。	9	
你对北京很熟悉了吧？	9	
你看这些照片。	9	
你登过长城吗？	9	
不到长城非好汉，我怎么能不登长城呢？	9	
你还去过别的城市吗？	9	
有一个地方我还没去过。	9	
你得给我买机票。	9	
我在北京住过，对北京很熟悉。	9	
我在那个饭店吃过中国菜，很好吃。	9	
她没去过北京，对北京不熟悉。	9	
你知道他住哪儿吗？不知道。他没说过。	9	
你去过中国吗？	9	
我以前每天看电视，现在忙了，没有时间看电视了。	9	
他今天有事儿，不能来上课了。	9	
九点了，我要回家了。	9	
麻烦你了。	9	
太麻烦了。	9	
时间很长。	9	
时间还早。	9	
自己的事儿。	9	
自己的钱。	9	
以前不会说汉语，现在会说汉语了。	9	
听说，你要换工作了。	9	
要是你想拍照的话，我可以帮你拍。	9	
你得问问别人。	9	
能不能请您给我们拍一张照片？	9	
他喜欢登山。	9	
今天晚上我要办两件事儿。	9	
那个地方我没去过。	9	
他家以前养过一只猫。	9	
这个字你认识吗？	9	
